genre,webtoon_id,title,thumbnail_url,rank
SENSIBILITY,800506,웅크,https://image-comic.pstatic.net/webtoon/800506/thumbnail/thumbnail_IMAG21_21640049-34da-44e5-82d7-bbb7aca3a3f8.jpg,2
SENSIBILITY,785749,슈퍼스타 천대리,https://image-comic.pstatic.net/webtoon/785749/thumbnail/thumbnail_IMAG21_7d010b0f-a77f-4449-a910-1816e2c547cc.jpg,3
SENSIBILITY,651664,밥 먹고 갈래요?,https://image-comic.pstatic.net/webtoon/651664/thumbnail/thumbnail_IMAG21_3558468650043455030.jpg,4
SENSIBILITY,813403,사이비 러브,https://image-comic.pstatic.net/webtoon/813403/thumbnail/thumbnail_IMAG21_8acfe881-9770-4010-82eb-ce84778b6a64.jpg,5
SENSIBILITY,740079,다함께 이겨내요,https://image-comic.pstatic.net/webtoon/740079/thumbnail/thumbnail_IMAG21_7004049830384579897.jpg,6
SENSIBILITY,700139,환생동물학교,https://image-comic.pstatic.net/webtoon/700139/thumbnail/thumbnail_IMAG21_3919313862966654261.jpg,7
SENSIBILITY,794099,북경신보,https://image-comic.pstatic.net/webtoon/794099/thumbnail/thumbnail_IMAG21_4122256449246475875.jpg,8
SENSIBILITY,805931,"소녀의 디딤돌 : 희망, 함께 날다",https://image-comic.pstatic.net/webtoon/805931/thumbnail/thumbnail_IMAG21_779370a2-8b7c-4019-94ca-53f08bb4f4a9.jpeg,9
SENSIBILITY,791937,6월의 라벤더,https://image-comic.pstatic.net/webtoon/791937/thumbnail/thumbnail_IMAG21_3991709225342808419.jpg,10
SPORTS,602910,윈드브레이커,https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg,1
SPORTS,703844,가비지타임,https://image-comic.pstatic.net/webtoon/703844/thumbnail/thumbnail_IMAG21_5ddcb40e-1f6a-40f3-b2c4-6cd9a7eee843.jpg,2
SPORTS,750826,빌드업,https://image-comic.pstatic.net/webtoon/750826/thumbnail/thumbnail_IMAG21_8bf7d36d-d865-4df0-b76f-f72f288bb2cd.jpg,3
SPORTS,807775,천재 타자가 강속구를 숨김,https://image-comic.pstatic.net/webtoon/807775/thumbnail/thumbnail_IMAG21_91cb8ff9-5be3-40ba-8df9-661972577cd2.jpg,4
SPORTS,753839,빅맨,https://image-comic.pstatic.net/webtoon/753839/thumbnail/thumbnail_IMAG21_3835153067459896165.jpg,5
SPORTS,814587,펜홀더,https://image-comic.pstatic.net/webtoon/814587/thumbnail/thumbnail_IMAG21_7dcee9f5-bb5f-4530-be38-48b836191517.jpg,6
SPORTS,732021,탑코너,https://image-comic.pstatic.net/webtoon/732021/thumbnail/thumbnail_IMAG21_3617062741365437232.jpg,7
SPORTS,701535,격기3반,https://image-comic.pstatic.net/webtoon/701535/thumbnail/thumbnail_IMAG21_2abe5b1a-9104-417f-9995-0db15c6db7be.jpg,8
SPORTS,807314,원포인트,https://image-comic.pstatic.net/webtoon/807314/thumbnail/thumbnail_IMAG21_176143e6-3d43-495d-b60e-4dae06bc10e2.jpg,9
SPORTS,775140,인피니티,https://image-comic.pstatic.net/webtoon/775140/thumbnail/thumbnail_IMAG21_2de7a216-571b-4bf9-81b6-11b37126d328.jpg,10
