,Title,Author,Age,Favorite,PublicDay,HashTag
110,칼끝에 입술,핀쿠,ALL,192948,SUNDAY,"로맨스,계략여주,계약연애,직진남,선결혼후연애,로판,걸크러시,소설원작"
111,장풍전,신영우,RATE_15,43700,SUNDAY,액션
112,청춘계시록,한서,ALL,273277,SUNDAY,"로맨스,로맨스코미디,2021지상최대공모전,현실로맨스,학원물,학원로맨스,하이틴,친구>연인,사이비종교"
113,고백 취소도 되나?,신매,ALL,398655,SUNDAY,"로맨스,폭스남,하이틴,청춘로맨스"
114,어느날 갑자기 서울은,박창근,RATE_15,227698,SUNDAY,"스릴러,아포칼립스,좀비,감염"
115,허리케인 공주님,랑또,ALL,86679,SUNDAY,"개그,요즘핫한추천작,학원물,이세계,성장드라마"
116,오로지 너를 이기고 싶어,아마도지,ALL,453808,SUNDAY,"로맨스,로맨스코미디,하이틴,학원로맨스"
117,랑데뷰,제로,RATE_15,151207,SUNDAY,"드라마,감성드라마"
118,약빨이 신선함,한집,RATE_15,64443,SUNDAY,"판타지,소설원작"
119,밤마다 남편이 바뀐다,구슬,ALL,197752,SUNDAY,"로맨스,2030연애,로맨스코미디,선결혼후연애,로판,소설원작"
120,경자 전성시대,김호드,RATE_15,55360,SUNDAY,"개그,4차원"
121,용사보다 너무 강해서 힘을 숨김,승한,RATE_15,15524,SUNDAY,액션
122,찐한 고백,JIP,RATE_12,61906,SUNDAY,"로맨스,러블리,폭스남,비밀연애,짝사랑,2030연애,로맨스코미디,현실로맨스,오피스로맨스,사내연애,소설원작"
123,황금의 세계를 너에게,레민,RATE_15,22619,SUNDAY,"판타지,성장물,소년왕도물,다크판타지,구원서사,걸크러시"
124,강아지는 멍멍하고 짖지 않아!,얄라리,ALL,21689,WEDNESDAY,"일상,무해한,힐링"
125,내게 종말은 게임이다,HOOPA,RATE_15,52923,SUNDAY,"판타지,아포칼립스,게임판타지,인외존재,인플루언서,먼치킨,소설원작"
126,노빠꾸 최하영,우엉이,RATE_12,59806,SUNDAY,"액션,4차원,힘숨찐,학원물"
127,포크&나이프,삼박,RATE_15,9215,SUNDAY,판타지
128,백설을 위하여,러스츄,RATE_15,64846,SUNDAY,"로맨스,소설원작"
129,내가 만든 이세계,가천가,RATE_12,9370,SUNDAY,"판타지,차원이동,이세계"
130,아카데미에 위장취업당했다,타나,RATE_12,187637,SUNDAY,"판타지,소설원작"
131,평행도시,고다,RATE_15,112434,SUNDAY,판타지
132,첫날밤만 세 번째,나라나라,RATE_15,76421,SUNDAY,"로맨스,고자극로맨스,2030연애,재회,오피스로맨스,소설원작"
133,죽음을 희망합니다,인멸윤금,RATE_15,43090,SUNDAY,"로맨스,힐링,선결혼후연애,구원서사,소설원작"
134,몸이 바뀌는 사정,푸릭,RATE_15,134050,SUNDAY,"로맨스,집착물,성별반전,직진남,삼각관계,빙의,로판,걸크러시,구원서사,소설원작"
135,아포크리파,은성,RATE_15,33114,SUNDAY,"스릴러,오컬트"
136,고양이 타타,로로,ALL,115825,SUNDAY,"드라마,무해한,힐링,동물"
137,펀치드렁커드,고태호,RATE_15,26253,SUNDAY,드라마
138,주인공의 주식을 팝니다,50,ALL,56083,SUNDAY,"로맨스,로판,소설원작"
139,죽고 싶습니다,연제원,RATE_18,10651,SUNDAY,"스릴러,범죄,서바이벌,두뇌싸움,성인웹툰"
140,내곁엔 없을까,쑤녕,ALL,93672,SUNDAY,로맨스
141,장미같은 소리,혜진양,RATE_15,77297,SUNDAY,"스릴러,연예계"
142,무서운게 딱좋아!,이동규,ALL,147543,SUNDAY,"스릴러,레트로,괴담"
143,최고의 뿔소라,김인정,RATE_12,48606,SUNDAY,"로맨스,무해한,다정남,2030연애,로맨스코미디,현실로맨스,연예계,성장드라마,구원서사,감성드라마"
144,사장님이 미쳤어요,밤희,RATE_15,23621,SUNDAY,"로맨스,2030연애,오피스로맨스,사내연애,소설원작"
145,후궁 스캔들,기트로우,ALL,134141,SUNDAY,"로맨스,동양풍판타지,소설원작"
146,신혼부부 생활 백서,문나영,RATE_15,53233,SUNDAY,"로맨스,2030연애,계약연애,현실로맨스,선결혼후연애,소설원작"
147,손 잡은 사이,반하리,ALL,20516,SUNDAY,로맨스
148,108명의 그녀들,고송,ALL,54021,SUNDAY,"로맨스,로판,소설원작"
149,생존고백,박태현,RATE_12,66816,SUNDAY,"로맨스,2021지상최대공모전,오컬트"
150,여신님의 호랑이 공략법,아완,RATE_15,54471,SUNDAY,"로맨스,타임슬립,동양풍판타지,인외존재"
151,헬스던전,도베도베,ALL,35446,SUNDAY,"액션,사이다,4차원,이세계,먼치킨"
152,완벽한 파트너,산차,ALL,63445,SUNDAY,"로맨스,소설원작"
153,성애적 순애보,유,RATE_15,38334,SUNDAY,"로맨스,고자극로맨스,2030연애,청춘로맨스,캠퍼스로맨스"
154,DARK MOON: 달의 제단,HYBE,RATE_12,175445,SUNDAY,"판타지,뱀파이어"
155,마왕의 고백,탑승,RATE_12,126629,SUNDAY,"판타지,2021지상최대공모전,인외존재,성장드라마"
156,사랑은 없는 것처럼,carbo(도효원),RATE_15,33313,SUNDAY,"로맨스,소설원작"
157,잿더미 황후,스튜디오BCW,RATE_15,42118,SUNDAY,"로맨스,소설원작"
158,손 안의 안단테,나윤희,RATE_12,58572,SUNDAY,"드라마,음악,연상연하,성장드라마,감성드라마"
159,여우애담,이도광,RATE_15,88410,SUNDAY,"로맨스,동양풍판타지,퓨전사극,인외존재"
160,킬링킬러,아백,RATE_15,55942,SUNDAY,액션
161,블러드 리벤저,고백,RATE_15,40021,SUNDAY,"판타지,2021지상최대공모전"
